date,value,Sverige Befolkning, Årtal
1880,4572280
1890,4779692
1900,5116884
1910,5499374
1920,5875693
1930,6131126
1940,6356350
1950,7013950
1960,7480374
1970,8042657
1980,8310470
1990,8558774
2000,8872103
2010,9373379
2015,9799186
2016,9923085
2017,10057698
2018,10175214
2019,10285453
2020,10327589
2021,10452326
2022,10512820
